epoch 100 , loss = 1.4175625265342087 , time = 26.703863859176636
epoch 101 , loss = 1.4903019602771106 , time = 24.145351886749268
epoch 102 , loss = 1.287566966413719 , time = 23.859291791915894
epoch 103 , loss = 1.4981057421485653 , time = 24.980896472930908
epoch 104 , loss = 1.4323434569407765 , time = 26.47883629798889
epoch 105 , loss = 1.3805900921087806 , time = 25.47726607322693
epoch 106 , loss = 1.4961459497510232 , time = 25.716193437576294
epoch 107 , loss = 0.997329470558049 , time = 21.188740253448486
epoch 108 , loss = 1.051174999195916 , time = 18.79651141166687
epoch 109 , loss = 0.9374225993027615 , time = 18.68930411338806
epoch 110 , loss = 0.9205171948668379 , time = 19.04336404800415
epoch 111 , loss = 1.438237576395334 , time = 25.87342381477356
epoch 112 , loss = 1.1168242932006738 , time = 23.178032875061035
epoch 113 , loss = 0.857390615618054 , time = 23.038994550704956
epoch 114 , loss = 0.9223963581339385 , time = 25.484742641448975
epoch 115 , loss = 0.9885741515172528 , time = 23.073134183883667
epoch 116 , loss = 0.8429832333358727 , time = 20.499592065811157
epoch 117 , loss = 0.8302276333740478 , time = 23.4498507976532
epoch 118 , loss = 0.8448357242945167 , time = 22.068285703659058
epoch 119 , loss = 0.8454834261823433 , time = 19.143555402755737
epoch 120 , loss = 0.875767996528094 , time = 19.225563287734985
epoch 121 , loss = 0.9696146306209582 , time = 19.57996439933777
epoch 122 , loss = 0.8647381812317517 , time = 18.79738998413086
epoch 123 , loss = 1.108701150076182 , time = 19.19685673713684
epoch 124 , loss = 0.8281373180210047 , time = 19.168848514556885
epoch 125 , loss = 0.8414947583714643 , time = 20.114898681640625
epoch 126 , loss = 0.8376856296550159 , time = 19.491529941558838
epoch 127 , loss = 1.071802457639256 , time = 18.0452241897583
epoch 128 , loss = 2.189261193229063 , time = 18.654103755950928
epoch 129 , loss = 2.25486775399043 , time = 24.227436780929565
epoch 130 , loss = 1.4361392644826376 , time = 24.34016990661621
epoch 131 , loss = 1.537543583995512 , time = 22.496190309524536
epoch 132 , loss = 1.207776015649912 , time = 22.74762511253357
epoch 133 , loss = 1.1962728415410206 , time = 23.174402236938477
epoch 134 , loss = 1.2062047089302468 , time = 18.63455057144165
epoch 135 , loss = 1.0833033779886643 , time = 18.538012504577637
epoch 136 , loss = 1.0602644373246077 , time = 19.50570797920227
epoch 137 , loss = 0.9908544905093367 , time = 24.61306071281433
epoch 138 , loss = 0.7923840201989857 , time = 25.456457138061523
epoch 139 , loss = 0.8987809064111906 , time = 22.355304718017578
epoch 140 , loss = 0.9037493907603786 , time = 17.979840993881226
epoch 141 , loss = 0.9871776604395416 , time = 17.92923617362976
epoch 142 , loss = 1.042006754647196 , time = 21.920814752578735
epoch 143 , loss = 1.2146794940236494 , time = 23.432212352752686
epoch 144 , loss = 0.7661804748615401 , time = 21.748685836791992
epoch 145 , loss = 0.8090264682297851 , time = 21.51201558113098
epoch 146 , loss = 0.9485903555365611 , time = 21.794068336486816
epoch 147 , loss = 0.7558489087561542 , time = 22.99529719352722
epoch 148 , loss = 0.7804719769889169 , time = 24.81934404373169
epoch 149 , loss = 0.7797384148492528 , time = 22.406811714172363
epoch 150 , loss = 1.5047636833077562 , time = 22.85088562965393
epoch 151 , loss = 1.4586005100295598 , time = 24.220507860183716
